scientificname;longitude;latitude
Araucaria angustifolia;-49.259833;-25.397528
Araucaria angustifolia;-49.998639;-25.419694
Araucaria angustifolia;-49.114917;-25.401889
Araucaria angustifolia;-49.125389;-25.381194
Araucaria angustifolia;-49.120722;-25.382861
Araucaria angustifolia;-49.260167;-25.364306
Baccharis aracatubensis;-48.987056;-25.515806
Butia capitata;-52.901444;-26.107806
Butia microspadix;-50.002083;-25.241083
Cedrela fissilis;-49.332444;-25.610861
Curitiba prismatica;-50.042583;-25.222306
Dicksonia sellowiana;-49.22275;-25.332333
Dyckia reitzii;-49.004444;-25.387083
Eryngium scirpinum;-49.996028;-25.241194
Galianthe elegans;-49.998722;-25.236806
Galianthe elegans;-49.989639;-25.239583
Galianthe elegans;-50.001778;-25.241556
Gomphrena paranensis;-49.995472;-25.240389
Gomphrena paranensis;-50.001361;-25.240722
Leandra hatschbachii;-48.829333;-25.244028
Lessingianthus pumillus;-49.995472;-25.240389
Lippia pumila;-50.000694;-25.240944
Marchantia berteroana;-49.121278;-25.381306
Metzgeria hegewaldii;-49.232167;-25.393889
Metzgeria hegewaldii;-49.253278;-25.430722
Metzgeria hegewaldii;-49.258472;-25.436444
Metzgeria hegewaldii;-49.258472;-25.436444
Metzgeria hegewaldii;-49.291528;-25.433806
Metzgeria hegewaldii;-49.237111;-25.383222
Mimosa strobiliflora;-49.118556;-25.385361
Mimosa strobiliflora;-49.11625;-25.382583
Psychotria fluminensis;-48.829333;-25.244028
Senecio langei;-49.645833;-25.4675
Senecio langei;-49.178056;-25.525417
Senecio langei;-49.122389;-25.381361
Senecio langei;-49.332389;-25.629222
Senecio langei;-49.175;-25.526361
Senecio langei;-49.163444;-25.532972
Senecio langei;-49.217611;-25.432222
Senecio langei;-49.645222;-25.468694
Senecio langei;-49.122389;-25.380889
Senecio langei;-49.336694;-25.625222
Stevia leptophylla;-49.995472;-25.240389
Symplocos incrassata;-48.823972;-25.246722
Ipomoea subrevoluta;-59.15;-33.43
Solanum gertii;-48.900556;-25.499167
Solanum gertii;-48.900556;-25.499167
Solanum viscosissimum;-51.6;-26.416667
Jobinia hatschbachii;-49.06222222;-25.44194444
Senecio langei;-51.34944444;-24.65444444
Araucaria angustifolia;-50.34238;-25.331512
Cedrela fissilis;-50.32226;-25.29463
Curitiba prismatica;-50.333303;-25.332422
Psidium araucanum;-49.33;-25
Psidium araucanum;-49.08361;-24.977653
Senecio langei;-49.0833;-25.3
Solanum gertii;-48.5667;-25.9
Solanum gertii;-48.8167;-25.4667
Spigelia vestita;-49.421503;-26.096372
Stevia leptophylla;-49.7178;-25.7658
Stevia leptophylla;-49.7178;-25.7658
Valeriana reitziana;-50.4;-24.5
Virola bicuhyba;-49.4384765625;-24.574601971051
Xylopia brasiliensis;-53.142464;-25.62438
Xylopia brasiliensis;-53.142464;-25.62438
Myrceugenia kleinii;-48.228843;-24.87839
Agalinis ramulifera;-49.0667;-25.4333
Aloysia hatschbachii;-49.421503;-26.096372
Araucaria angustifolia;-49.237331;-25.442591
Baccharis aracatubensis;-48.5667;-25.9
Baccharis aracatubensis;-48.5667;-25.9
Begonia pluvialis;-48.8167;-25.4667
Bradea brasiliensis;-49.27366;-24.79626
Byrsonima brachybotrya;-50.15;-25.0833
Byrsonima brachybotrya;-50.0033;-25.4261
Calea acaulis;-50.0033;-25.4261
Castela tweedii;-52.18505859375;-25.7949454756497
Chusquea attenuata;-49.0833;-25.3667
Chusquea attenuata;-49.0833;-25.3667
Citronella engleriana;-49.0833;-25.3
Citronella engleriana;-48.5667;-25.9
Citronella engleriana;-49.0833;-25.3
Cuphea glaziovii;-48.5298299789429;-25.5138231915644
Curitiba prismatica;-50.3833;-25.8667
Curitiba prismatica;-50.2;-25.9833
Curitiba prismatica;-49.259434;-25.361267
Discaria americana;-49.999926;-25.434237
Escallonia obtusissima;-52;-26.5
Eugenia janeirensis;-49.6167;-25.6
Eugenia joenssonii;-48.7167;-25.45
Eugenia joenssonii;-48.7167;-25.45
Eugenia malacantha;-48.3258;-25.2983
Eugenia pseudomalacantha;-48.7167;-25.45
Eugenia sclerocalyx;-49.0833;-25.3
Eugenia sclerocalyx;-49.0833;-25.3
Euplassa nebularis;-49.0833;-25.3
Euplassa nebularis;-48.8167;-25.4667
Baccharis aracatubensis;-48.9594;-25.8867
Symplocos corymboclados;-48.9840277778;-25.5146666667
Symplocos corymboclados;-48.8298611111;-25.2452777778
Symplocos kleinii;-48.9838611111;-25.4971388889
Ocotea odorifera;-49.16666;-24.83333
Ocotea porosa;-52.5333333;-24.4166667
Oxypetalum dusenii;-50.0666667;-24.9166667
Passiflora setulosa;-50.2;-25.1666667
Solanum gertii;-48.9391666;-25.8591667
Ocotea porosa;-50.03333;-25.21666
Senecio langei;-49.206667;-25.637222
Castela tweedii;-51.632222;-23.902222
Castela tweedii;-52.154833;-24.319556
Cedrela fissilis;-53.294861;-23.627722
Hippeastrum santacatarina;-51.9425;-26.554722
Hippeastrum vittatum;-52.545833;-25.926667
Lafoensia nummularifolia;-50.120278;-24.29
Baccharis aracatubensis;-48.969083;-25.851472
Baccharis aracatubensis;-48.956417;-25.889611
Calibrachoa spathulata;-52.620833;-15.270861
Solanum pabstii;-50.775278;-25.409167
Symplocos corymboclados;-48;-25
Symplocos corymboclados;-48;-25
Picramnia excelsa;-51.083556;-23.966389
Zephyranthes paranaensis;-52.335778;-25.726889
Deschampsia cespitosa;-51.3156;-26.4275
Mimosa hatschbachii;-51.4581;-25.3956
Eryngium corallinum;-51.4581;-25.3956
Cedrela fissilis;-52.5256;-25.4908
Cedrela fissilis;-52.5256;-25.4908
Janusia occhionii;-52.6047;-23.6633
Janusia occhionii;-52.55;-23.5
Janusia occhionii;-52.5906;-23.5381
Barbacenia paranaensis;-49.4633;-24.1131
Barbacenia paranaensis;-49.37;-24.13
Valeriana reitziana;-51.4581;-25.3956
Lycianthes repens;-52.6047;-23.6633
Aspidosperma parvifolium;-49.7056;-24.2511
Gomphrena paranensis;-49.8267;-24.1581
Butia microspadix;-49.4633;-24.1131
Aloysia cordata;-49.0631;-25.4419
Ocotea porosa;-50.4606;-25.3683
Euterpe edulis;-52.6047;-23.6633
Lessingianthus pumillus;-49.986549;-25.226264
Ocotea porosa;-49.048057;-25.507775
Leandra hatschbachii;-49.048057;-25.507775
Zygostigma australe;-49.98022;-25.43497
Heteropterys dusenii;-51.4581;-25.3956
Xyris reitzii;-49.35;-25.43
Curitiba prismatica;-49.22;-25.37
Anemopaegma arvense;-49.68;-24.23
Oxalis praetexta;-49.97;-25.42
Butia microspadix;-49.97;-25.42
Lobelia langeana;-49.2064;-25.5347
Dicksonia sellowiana;-49.2731;-25.4281
Eryngium ombrophilum;-48.8342;-25.4769
Mikania pinnatiloba;-53.0258;-26.1494
Eugenia myrciariifolia;-50.5803;-23.9108
Lupinus gibertianus;-49.159367;-25.441889
Xyris rigida;-49.159367;-25.441889
Ocotea odorifera;-49.2608;-24.8236
Eugenia pseudomalacantha;-48.7117;-25.4286
Smilax subsessiliflora;-48.5744;-25.8831
Symplocos kleinii;-49.05;-25.43
Mollinedia jorgearum;-48.3;-25.5
Mikania hastato-cordata;-48.3;-25.5
Rhamnidium glabrum;-48.8342;-25.4769
Ocotea porosa;-51.4581;-25.3956
Tillandsia crocata;-50.1;-24.18
Valeriana reitziana;-51.57403;-26.589411
Araucaria angustifolia;-53.1567;-25.2033
Piper piritubanum;-48.326804;-25.522889
Araucaria angustifolia;-50.6508;-25.4672
Scutia arenicola;-48.7117;-25.4286
Ocotea porosa;-50.077154;-25.140873
Paepalanthus hydra;-50.1617;-25.095
Gleditsia amorphoides;-53.49;-23.7361
